Date,Mood,SleepHours
2026-06-28,Happy,7
2026-06-29,Focused,8
2026-06-30,Tired,6
2026-07-01,Happy,7
2026-07-02,Focused,8
2026-07-03,Relaxed,7
2026-07-04,Tired,5
2026-07-05,Happy,8
2026-07-06,Focused,7
2026-07-07,Stressed,6
2026-07-08,Happy,8
2026-07-09,Relaxed,7
2026-07-10,Focused,8
2026-07-11,Tired,6
2026-07-12,Happy,7
2026-07-13,Focused,8
2026-07-14,Relaxed,7
2026-07-15,Stressed,5
2026-07-16,Happy,8
2026-07-17,Focused,7
2026-07-18,Relaxed,8
2026-07-19,Tired,6
2026-07-20,Happy,7
2026-07-21,Focused,8
2026-07-22,Relaxed,7
2026-07-23,Happy,8
2026-07-24,Focused,7
2026-07-25,Tired,6
2026-07-26,Happy,8
2026-07-27,Relaxed,7
