Date,App,Duration
2026-06-28,Chrome,120
2026-06-28,VS Code,180
2026-06-28,YouTube,45
2026-06-29,Chrome,90
2026-06-29,VS Code,200
2026-06-29,Spotify,60
2026-06-29,WhatsApp,35
2026-06-29,Chrome,110
2026-06-30,VS Code,220
2026-06-30,Chrome,95
2026-06-30,YouTube,50
2026-06-30,Gmail,30
2026-06-30,VS Code,170
2026-07-01,Chrome,100
2026-07-01,YouTube,55
2026-07-01,Spotify,65
2026-07-01,VS Code,210
2026-07-01,WhatsApp,40
2026-07-02,Chrome,130
2026-07-02,VS Code,190
2026-07-02,YouTube,60
2026-07-02,Gmail,25
2026-07-02,Chrome,80
2026-07-03,VS Code,230
2026-07-03,Spotify,70
2026-07-03,WhatsApp,30
2026-07-03,Chrome,120
2026-07-03,YouTube,40
2026-07-04,VS Code,200
2026-07-04,Chrome,90
2026-07-04,Gmail,35
2026-07-04,Spotify,55
2026-07-04,YouTube,65
2026-07-05,Chrome,115
2026-07-05,VS Code,185
2026-07-05,WhatsApp,25
2026-07-05,YouTube,75
2026-07-05,Gmail,40
2026-07-06,Chrome,125
2026-07-06,VS Code,240
2026-07-06,Spotify,50
2026-07-06,WhatsApp,45
2026-07-06,Chrome,105
2026-07-07,VS Code,195
2026-07-07,YouTube,60
2026-07-07,Gmail,30
2026-07-07,Spotify,80
2026-07-07,Chrome,140
2026-07-08,VS Code,205
2026-07-08,WhatsApp,35
2026-07-08,Chrome,110
2026-07-08,YouTube,55
2026-07-08,Gmail,45
2026-07-09,VS Code,215
2026-07-09,Chrome,135
2026-07-09,Spotify,60
2026-07-09,WhatsApp,40
2026-07-09,YouTube,70
2026-07-10,Chrome,120
2026-07-10,VS Code,225
2026-07-10,Gmail,30
2026-07-10,Spotify,65
2026-07-10,YouTube,50
